統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
73252657,2022,112189.69,95.92,38641.15,102.46,73548.54,92.81,
73252657,2021,129421.3,110.65,44109.65,116.96,85311.65,107.65,
73252657,2020,117759.8,100.68,38172.33,101.22,79587.47,100.43,
73252657,2019,116962.86,100,37713.93,100,79248.93,100,
73252657,2018,135244.3,115.63,43244.56,114.66,91999.74,116.09,
73252657,2017,142238.12,121.61,45411.12,120.41,96827,122.18,
73252657,2016,140670.17,120.27,46008.05,121.99,94662.12,119.45,
73252657,2015,139076.67,118.91,45806.44,121.46,93270.23,117.69,
73252657,2014,144448.42,123.5,50445.23,133.76,94003.19,118.62,
73252657,2023,110598.64,94.56,38950.23,103.28,71648.41,90.41,T
73252657,2024,109007.58,93.2,39259.3,104.1,69748.28,88.01,T
73252657,2025,107416.53,91.84,39568.37,104.92,67848.15,85.61,T
73252657,2026,105825.47,90.48,39877.45,105.74,65948.02,83.22,T
73252657,2027,104234.41,89.12,40186.52,106.56,64047.89,80.82,T
73252657,2028,102643.36,87.76,40495.59,107.38,62147.76,78.42,T
73252657,2029,101052.3,86.4,40804.67,108.2,60247.63,76.02,T
73252657,2030,99461.25,85.04,41113.74,109.01,58347.51,73.63,T
73252657,2031,97870.19,83.68,41422.82,109.83,56447.38,71.23,T
73252657,2032,96279.14,82.32,41731.89,110.65,54547.25,68.83,T
73252657,2033,94688.08,80.96,42040.96,111.47,52647.12,66.43,T
73252657,2034,93097.03,79.6,42350.04,112.29,50746.99,64.03,T
73252657,2035,91505.97,78.24,42659.11,113.11,48846.86,61.64,T
73252657,2036,89914.91,76.87,42968.19,113.93,46946.73,59.24,T
73252657,2037,88323.86,75.51,43277.26,114.75,45046.6,56.84,T
73252657,2038,86732.8,74.15,43586.33,115.57,43146.47,54.44,T
73252657,2039,85141.75,72.79,43895.41,116.39,41246.34,52.05,T
73252657,2040,83550.69,71.43,44204.48,117.21,39346.21,49.65,T
73252657,2041,81959.64,70.07,44513.56,118.03,37446.08,47.25,T
73252657,2042,80368.58,68.71,44822.63,118.85,35545.95,44.85,T
73252657,2043,78777.52,67.35,45131.7,119.67,33645.82,42.46,T
73252657,2044,77186.47,65.99,45440.78,120.49,31745.69,40.06,T
73252657,2045,75595.41,64.63,45749.85,121.31,29845.56,37.66,T
73252657,2046,74004.36,63.27,46058.92,122.13,27945.43,35.26,T
73252657,2047,72413.3,61.91,46368,122.95,26045.3,32.87,T
73252657,2048,70822.25,60.55,46677.07,123.77,24145.17,30.47,T
73252657,2049,69231.19,59.19,46986.15,124.59,22245.04,28.07,T
73252657,2050,67640.13,57.83,47295.22,125.41,20344.91,25.67,T
