統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
22822748,2020,90664.91,97.45,28728.55,96.29,61936.36,98,
22822748,2019,93033.08,100,29834.83,100,63198.25,100,
22822748,2018,103584.79,111.34,36240.03,121.47,67344.76,106.56,
22822748,2017,105314.71,113.2,32739.82,109.74,72574.89,114.84,
22822748,2016,92807.09,99.76,30776.97,103.16,62030.12,98.15,
22822748,2015,84217.78,90.52,30090.39,100.86,54127.39,85.65,
22822748,2014,104174.51,111.98,33586.93,112.58,70587.58,111.69,
22822748,2013,102838.39,110.54,30800.03,103.24,72038.36,113.99,
22822748,2021,85781.64,92.21,27391.46,91.81,58390.18,92.39,T
22822748,2022,80898.38,86.96,26054.37,87.33,54844.01,86.78,T
22822748,2023,76015.11,81.71,24717.28,82.85,51297.83,81.17,T
22822748,2024,71131.84,76.46,23380.19,78.37,47751.65,75.56,T
22822748,2025,66248.58,71.21,22043.1,73.88,44205.48,69.95,T
22822748,2026,61365.31,65.96,20706.01,69.4,40659.3,64.34,T
22822748,2027,56482.04,60.71,19368.92,64.92,37113.12,58.72,T
22822748,2028,51598.78,55.46,18031.83,60.44,33566.95,53.11,T
22822748,2029,46715.51,50.21,16694.74,55.96,30020.77,47.5,T
22822748,2030,41832.24,44.96,15357.65,51.48,26474.59,41.89,T
22822748,2031,36948.98,39.72,14020.56,46.99,22928.42,36.28,T
22822748,2032,32065.71,34.47,12683.47,42.51,19382.24,30.67,T
22822748,2033,27182.44,29.22,11346.38,38.03,15836.06,25.06,T
22822748,2034,22299.18,23.97,10009.29,33.55,12289.89,19.45,T
22822748,2035,17415.91,18.72,8672.2,29.07,8743.71,13.84,T
22822748,2036,12532.64,13.47,7335.11,24.59,5197.53,8.22,T
22822748,2037,7649.38,8.22,5998.02,20.1,1651.36,2.61,T
22822748,2038,2766.11,2.97,4660.93,15.62,0,0,T
22822748,2039,0,0,3323.84,11.14,0,0,T
22822748,2040,0,0,1986.75,6.66,0,0,T
22822748,2041,0,0,649.66,2.18,0,0,T
22822748,2042,0,0,0,0,0,0,T
22822748,2043,0,0,0,0,0,0,T
22822748,2044,0,0,0,0,0,0,T
22822748,2045,0,0,0,0,0,0,T
22822748,2046,0,0,0,0,0,0,T
22822748,2047,0,0,0,0,0,0,T
22822748,2048,0,0,0,0,0,0,T
