統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
22318678,2050,1632298.6,377.72,1241470.41,407.97,390828.19,305.73,T
86120031,2020,275142.05,86.04,163753.61,89.89,111388.44,80.94,
86120031,2019,319799.72,100,182176.94,100,137622.78,100,
86120031,2018,373607.32,116.83,227088.76,124.65,146518.56,106.46,
86120031,2017,336415.51,105.2,195384.3,107.25,141031.21,102.48,
86120031,2016,308203.85,96.37,167041.34,91.69,141162.51,102.57,
86120031,2015,384496.44,120.23,217265.4,119.26,167231.04,121.51,
86120031,2014,499025.44,156.04,290118.48,159.25,208906.96,151.8,
86120031,2021,254717.56,79.65,153210.05,84.1,101507.52,73.76,T
86120031,2022,234293.08,73.26,142666.48,78.31,91626.59,66.58,T
86120031,2023,213868.59,66.88,132122.92,72.52,81745.67,59.4,T
86120031,2024,193444.1,60.49,121579.36,66.74,71864.75,52.22,T
86120031,2025,173019.62,54.1,111035.79,60.95,61983.82,45.04,T
86120031,2026,152595.13,47.72,100492.23,55.16,52102.9,37.86,T
86120031,2027,132170.64,41.33,89948.67,49.37,42221.98,30.68,T
86120031,2028,111746.16,34.94,79405.1,43.59,32341.05,23.5,T
86120031,2029,91321.67,28.56,68861.54,37.8,22460.13,16.32,T
86120031,2030,70897.18,22.17,58317.98,32.01,12579.21,9.14,T
86120031,2031,50472.7,15.78,47774.41,26.22,2698.28,1.96,T
86120031,2032,30048.21,9.4,37230.85,20.44,0,0,T
86120031,2033,9623.72,3.01,26687.29,14.65,0,0,T
86120031,2034,0,0,16143.72,8.86,0,0,T
86120031,2035,0,0,5600.16,3.07,0,0,T
86120031,2036,0,0,0,0,0,0,T
86120031,2037,0,0,0,0,0,0,T
86120031,2038,0,0,0,0,0,0,T
86120031,2039,0,0,0,0,0,0,T
86120031,2040,0,0,0,0,0,0,T
86120031,2041,0,0,0,0,0,0,T
86120031,2042,0,0,0,0,0,0,T
86120031,2043,0,0,0,0,0,0,T
86120031,2044,0,0,0,0,0,0,T
86120031,2045,0,0,0,0,0,0,T
86120031,2046,0,0,0,0,0,0,T
86120031,2047,0,0,0,0,0,0,T
86120031,2048,0,0,0,0,0,0,T
86120031,2049,0,0,0,0,0,0,T
86120031,2050,0,0,0,0,0,0,T
