分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,31492.450000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,5907.99
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2008,37400.44
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,24763.940000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4031.19
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,28795.13
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,22034.06
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,4278.65
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,86.57195685179532
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,26312.71
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,23335
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,4260
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,100.49295261987622
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,27595
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,14657
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,3660
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,70.86101843574137
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,18317
E,能源使用狀況,總用電量,true,度,2018,7724958.33
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,25416.03503503352
E,能源使用狀況,總用電量,true,度,2019,7994719.44
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,29114.439640990156
E,能源使用狀況,總用電量,true,度,2020,7191238.89
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,27819.976609712852
E,水資源,總取水量,true,噸,2018,13520
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,11130
E,水資源,總取水量,true,噸,2019,16570
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,14160
E,水資源,總取水量,true,噸,2020,22980
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,16480
E,廢棄物管理,一般事業廢棄物,true,噸,2018,65.83
E,廢棄物管理,有害事業廢棄物,true,噸,2018,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,72
E,廢棄物管理,有害事業廢棄物,true,噸,2019,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,36.84
E,廢棄物管理,有害事業廢棄物,true,噸,2020,0
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,22.527
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,41.049
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.798
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,6.540000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,24.966
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,35.657
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.869
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,11.197
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,30.415
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,45.427
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,10.969000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,13.009
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,44.271
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,63.853
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,17.887
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,15.303
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,41.442
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,49.797
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,16.485
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,15.305000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,56.53799999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,63.71300000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,21.374
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,20.743
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,5.386000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,5.092
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,2.5669999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,12.938
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,25.728
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,30.652
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,6.063
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,11.762
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.018000000000000002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.016
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.008
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2017,0.003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.176
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,53.74799999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,61.458
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,16.058999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,20.868000000000002
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.006
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.03900000000000001
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.003
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.036000000000000004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.018000000000000002
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,24.335999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,32.19800000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,3.42
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,19.592
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.006
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.048
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.006
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.041999999999999996
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.022
