分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,314863.91000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,350.11
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,315214.02
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,332228.7
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,410.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,332639.27
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,399409.1
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,7494.45
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,406903.55
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,1251.5449632598325
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,241093.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,5622.88
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,246716.6
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,528.111007244138
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,521902.49
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,1792.16
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,523694.64999999997
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,1001.0678293368553
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,507007.23
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,3875.98
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,510883.20999999996
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,1070.6945708049236
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,490683.33999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,6831.219999999999
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,497514.55999999994
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,1195.9314425140872
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,494002.78
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,274855.43999999994
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,768858.22
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,553840.8068
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,325331.0892
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,879171.896
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,556366.83
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,49693.36
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,77121.47
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,606060.19
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,509623.27
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,40268.21
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,549891.48
E,能源使用狀況,總用電量,true,度（KWh）,2022,107885786.19741975
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,212.16
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,212640
E,能源使用狀況,總用電量,true,度（KWh）,2021,325899178
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2021,212.16
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,272480
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,2021年排碳量較2018年減少2%2021年噸紙能源耗用量較2018年減少5%
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2022,4607440
E,水資源,回收水量,true,,2022,63618450
E,水資源,耗用水量,true,,2022,NA
E,水資源,排放水量,true,,2022,3001870
E,水資源,總取水量,true,,2021,4029050
E,水資源,回收水量,true,,2021,52812953
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,2563050
E,廢棄物管理,一般事業廢棄物,true,,2022,30878.16
E,廢棄物管理,有害事業廢棄物,true,,2022,27.61
E,廢棄物管理,資源化再利用,true,,2022,46298.65
E,廢棄物管理,一般事業廢棄物,true,,2021,71421.91
E,廢棄物管理,有害事業廢棄物,true,,2021,25.75
E,廢棄物管理,資源化再利用,true,,2021,50613.58
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,578.3610000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,209.57000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,58.958
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,48.662
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,461.34799999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,153.34400000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,45.26699999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,25.947000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,533.0289999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,131.604
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,53.309
