分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,39012.51
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,34134.24
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,73146.75
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,41232.310000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,32666.93
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,73899.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,19363.030000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,25715.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,45078.83
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,27552.459999999995
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,27562.38
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,55114.84
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,29293.129999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,33459.37
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,62752.5
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.5
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.246
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,22.433999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.88
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.22499999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,23.864
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,3.5869999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.048
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.45000000000000007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,24.936
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,15.035
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.8580000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.515
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,33.452
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,5.005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.361
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.078
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,8.071
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,39.518
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,4.390000000000001
