年份,Tot數值,Tot變化,是推估值
2019,342362.2,100,
2020,355573.35,103.86,T
2021,368784.51,107.72,T
2022,381995.66,111.58,T
2023,395206.81,115.44,T
2024,408417.97,119.29,T
2025,421629.12,123.15,
2026,412259.58,120.42,T
2027,402890.05,117.68,T
2028,393520.51,114.94,T
2029,384150.98,112.21,T
2030,374781.44,109.47,
2031,367754.29,107.42,T
2032,360727.14,105.36,T
2033,353699.98,103.31,T
2034,346672.83,101.26,T
2035,339645.68,99.21,T
2036,332618.53,97.15,T
2037,325591.38,95.1,T
2038,318564.22,93.05,T
2039,311537.07,91,T
2040,304509.92,88.94,T
2041,297482.77,86.89,T
2042,290455.62,84.84,T
2043,283428.46,82.79,T
2044,276401.31,80.73,T
2045,269374.16,78.68,T
2046,262347.01,76.63,T
2047,255319.86,74.58,T
2048,248292.7,72.52,T
2049,241265.55,70.47,T
2050,234238.4,68.42,
