分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,公司目前針對電能之減量來降低間接排放之溫室氣體數量。
E,環境違規,違反環境法規金額-misc,,元,2020,28500
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,491
S,員工薪資,薪資中位數,,仟元,2020,432
S,員工薪資,平均薪資,,仟元,2019,465
S,員工薪資,薪資中位數,,仟元,2019,411
S,員工薪資,平均薪資,,仟元,2018,573
G,資本額,資本額,,元,2020,1663868360
G,資本額,資本額,,元,2019,1663868360
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,7433603
G,營運狀況,營業成本,,仟元,2020,6927021
G,營運狀況,營業費用,,仟元,2020,395403
G,營運狀況,淨利,,仟元,2020,40157
G,營運狀況,營業收入,,仟元,2019,8727904
G,營運狀況,營業成本,,仟元,2019,8214770
G,營運狀況,營業費用,,仟元,2019,415515
G,營運狀況,淨利,,仟元,2019,7906
G,營運狀況,營業收入,,仟元,2018,8553613
G,營運狀況,營業成本,,仟元,2018,8052507
G,營運狀況,營業費用,,仟元,2018,449752
G,營運狀況,淨利,,仟元,2018,870508
G,營運狀況,營業收入,,仟元,2017,8543607
G,營運狀況,營業成本,,仟元,2017,7862439
G,營運狀況,營業費用,,仟元,2017,407329
G,營運狀況,淨利,,仟元,2017,209456
G,營運狀況,營業收入,,仟元,2016,7465565
G,營運狀況,營業成本,,仟元,2016,6676691
G,營運狀況,營業費用,,仟元,2016,409953
G,營運狀況,淨利,,仟元,2016,280950
