分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,43774.20999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,139516.53
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,183290.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,96569.37
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,146594.69
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,243164.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,111983.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,167768.34
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,279751.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,114271.58000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,178052.26
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,292323.84
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,203.91569778742868
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,157600.12
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,229832.61000000002
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,387432.73
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,230.8997921451654
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,163009.92
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,217549.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,380559.63
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,199.33444564953484
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,134441.47
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,195958.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,330399.62
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,245.09556642455416
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,125617.28
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,189297.44
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,314914.72
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,279.80828528427463
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,142762.88
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,206189.21
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,348952.08999999997
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,自然資源消耗與匱乏、氣候變遷，各項能源的開發與電&#63882;建設&#64038;面&#63990;極大困難，因此「節能減碳」已經是所有人民及企業&#64038;無法逃避的宿命與責任，華新麗華自2015年即開始推行各項節能措施，各廠區皆成立節能減碳管理組織，透過建置能源平台及定期會報能源管理目標績效進度，2021年臺灣廠及大陸廠總節電率達1.76%高於能源局制定1%目標值。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,24.298000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,15.485
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,26.025000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,129.03499999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,79.41699999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,17.516000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,26.924999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,145.87300000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,65.97700000000002
