年份,Tot數值,Tot變化,是推估值
2019,8641459,100,
2020,8352583.03,96.66,T
2021,8063707.07,93.31,T
2022,7774831.1,89.97,T
2023,7485955.13,86.63,T
2024,7197079.17,83.29,T
2025,6908203.2,79.94,
2026,6562793.04,75.95,T
2027,6217382.88,71.95,T
2028,5871972.72,67.95,T
2029,5526562.56,63.95,T
2030,5181152.4,59.96,
2031,4922094.78,56.96,T
2032,4663037.16,53.96,T
2033,4403979.54,50.96,T
2034,4144921.92,47.97,T
2035,3885864.3,44.97,T
2036,3626806.68,41.97,T
2037,3367749.06,38.97,T
2038,3108691.44,35.97,T
2039,2849633.82,32.98,T
2040,2590576.2,29.98,T
2041,2331518.58,26.98,T
2042,2072460.96,23.98,T
2043,1813403.34,20.98,T
2044,1554345.72,17.99,T
2045,1295288.1,14.99,T
2046,1036230.48,11.99,T
2047,777172.86,8.99,T
2048,518115.24,6,T
2049,259057.62,3,T
2050,0,0,
