年份,Tot數值,Tot變化,是推估值
2020,9140628,109.44,
2021,9140628,109.44,T
2022,12796879.2,153.22,T
2023,12339847.8,147.75,T
2024,11882816.4,142.28,T
2025,11425785,136.8,T
2026,10968753.6,131.33,T
2027,10511722.2,125.86,T
2028,10054690.8,120.39,T
2029,9597659.4,114.91,T
2030,9140628,109.44,T
2031,8683596.6,103.97,T
2032,8226565.2,98.5,T
2033,7769533.8,93.03,T
2034,7312502.4,87.55,T
2035,6855471,82.08,T
2036,6398439.6,76.61,T
2037,5941408.2,71.14,T
2038,5484376.8,65.67,T
2039,5027345.4,60.19,T
2040,4570314,54.72,T
2041,4113282.6,49.25,T
2042,3656251.2,43.78,T
2043,3199219.8,38.3,T
2044,2742188.4,32.83,T
2045,2285157,27.36,T
2046,1828125.6,21.89,T
2047,1371094.2,16.42,T
2048,914062.8,10.94,T
2049,457031.4,5.47,T
2050,0,0,
